Имя;цена
AGRITECH;168.00
CHAVDA;96.70
AGROPHOS;39.00
NEWJAISA;85.70
JETFREIGHT;13.05
ASHIMASYN;19.35
JETAIRWAYS;47.45
PCJEWELLER;61.35
NKIND;59.60
SUMEETINDS;3.20
BROOKS;96.35
BALKRISHNA;39.65
HCL-INSYS;15.30
YAARI;7.75
SGIL;313.95
UNITEDPOLY;102.00
GILLANDERS;80.75
FMNL;5.80
CYBERMEDIA;25.85
LASA;24.25
PAVNAIND;549.40
ARCHIDPLY;79.15
SWANENERGY;492.00
JMA;107.10
INDIANHUME;244.85
SGL;14.40
DEVIT;99.95
BINANIIND;14.60
SEYAIND;21.90
SEMAC;2,800.00
RAJESHEXPO;296.90
OAL;325.85
SINTERCOM;130.80
COMSYN;69.60
ARTNIRMAN;66.00
MACPOWER;900.00
HINDCOPPER;242.50
APCOTEXIND;418.85
INFOMEDIA;6.60
JPOLYINVST;659.25
ENIL;276.65
JHS;-
PNC;51.95
CINEVISTA;17.50
VHL;2,863.95
VARROC;460.00
FIBERWEB;31.95
DYNAMATECH;6,522.35
DAMODARIND;46.45
SHRADHA;58.40
AVONMORE;89.00
UNITEDTEA;311.00
DANGEE;9.35
WEALTH;529.95
EQUIPPP;25.30
KPIL;1,020.00
MMP;239.95
BALPHARMA;93.00
INNOVANA;485.00
JINDWORLD;347.00
TEXMOPIPES;73.25
COMPUSOFT;23.35
AMDIND;54.00
LCCINFOTEC;2.30
KOHINOOR;36.95
AWHCL;454.00
RELINFRA;191.00
SMSPHARMA;167.90
HAVISHA;2.35
ANUP;2,628.85
SIL;21.50
SHREYAS;256.75
TVSHLTD;8,648.00
SATIN;188.45
ACEINTEG;31.50
HIMATSEIDE;120.30
KHAITANLTD;64.30
ZUARI;165.00
ZOTA;468.80
MANORAMA;315.10
VSTL;237.05
SETCO;7.85
SHREEPUSHK;161.85
KAMATHOTEL;249.80
IRMENERGY;453.95
ALBERTDAVD;1,067.80
SIMBHALS;24.75
HARDWYN;31.85
MAHEPC;116.85
BLISSGVS;105.25
KCP;160.90
ESTER;87.95
DAVANGERE;96.95
APEX;195.00
AVG;497.00
SUPRIYA;315.00
SUNDARAM;3.00
GULFPETRO;60.45
KEC;700.95
ELECON;823.00
JAIPURKURT;47.20
GMRINFRA;76.35
POWERMECH;4,665.00
CHEMCON;252.00
JSFB;388.95
INDTERRAIN;70.10
GANGESSECU;113.60
SAKAR;343.65
HERANBA;310.00
RESPONIND;276.95
PRIVISCL;1,023.40
VALIANTORG;398.80
NGLFINE;2,049.90
VIJAYA;619.15
EXCELINDUS;731.00
KAYA;314.75
GOACARBON;683.80
RAMCOSYS;270.90
JAGSNPHARM;291.25
GNA;393.40
APTECHT;207.25
MAHESHWARI;61.75
PANACEABIO;134.05
DCW;48.50
BFINVEST;506.00
NAVKARCORP;80.00
JLHL;1,156.20
CENTENKA;386.20
ITALIANE;32.00
AHLEAST;145.95
DTIL;188.95
COASTCORP;246.95
FOODSIN;133.75
MAHAPEXLTD;112.45
ZUARIIND;257.70
CCL;597.90
MEGASTAR;280.00
IPCALAB;1,147.95
WSTCSTPAPR;612.00
3IINFOLTD;39.55
INDSWFTLTD;15.85
COCHINSHIP;739.95
MAYURUNIQ;499.75
TTL;122.00
SUNFLAG;184.10
VISHNU;253.95
ARVSMART;561.60
JASH;1,620.00
KHAICHEM;67.00
CORALFINAC;42.00
DEEPENR;156.00
OBCL;51.00
AXITA;21.25
AROGRANITE;42.75
ENTERO;1,004.95
NGIL;48.80
UJJIVAN;475.00
BPL;80.90
GREAVESCOT;127.20
BAJAJELEC;931.45
ISMTLTD;86.00
TEJASNET;679.95
SHRIRAMPPS;97.10
PAR;205.00
MANAKSIA;100.20
PRUDENT;1,163.00
MATRIMONY;517.20
SDBL;222.00
VSSL;193.90
HINDALCO;512.00
AGARIND;798.95
BOROLTD;378.95
ABBOTINDIA;27,666.00
GENESYS;530.95
EXPLEOSOL;1,261.65
XCHANGING;107.30
MANAPPURAM;161.80
KHANDSE;27.00
FOCUS;173.90
NRBBEARING;261.00
TI;185.90
CHEMPLASTS;436.35
SADHNANIQ;66.55
BURNPUR;5.65
SHIVALIK;513.00
LXCHEM;229.00
SANDESH;1,095.20
EPACK;157.00
TATAELXSI;7,456.75
MAITHANALL;974.25
SALZERELEC;644.50
APLLTD;927.00
PCBL;232.90
JTLIND;177.95
MGL;1,230.10
SATIA;106.85
RADIANTCMS;75.95
JWL;310.95
BHARATGEAR;101.95
MUFTI;185.05
ARIHANTSUP;275.00
ANDHRSUGAR;96.00
PHANTOMFX;436.00
SATINDLTD;86.30
SHARDACROP;331.80
CEREBRAINT;6.85
PGHH;15,623.65
BLKASHYAP;61.80
ADANIENT;2,927.45
KIRIINDUS;325.30
ALPHAGEO;300.00
RATNAVEER;111.80
CAMPUS;223.90
ROLEXRINGS;1,838.95
SUNDRMFAST;1,034.90
FORCEMOT;5,899.95
NUVOCO;300.00
ITDCEM;270.95
KABRAEXTRU;305.95
SOMICONVEY;126.90
MADHAV;39.70
TASTYBITE;12,745.00
CYIENT;1,909.00
NIPPOBATRY;599.95
GRINDWELL;1,920.50
SOLARA;370.45
NATIONALUM;137.00
AKZOINDIA;2,300.50
SAURASHCEM;98.75
DISHTV;16.50
AGI;714.00
IBREALEST;99.80
WONDERLA;842.05
HINDWAREAP;319.90
GAEL;363.70
SAMHI;206.35
RITES;588.95
USHAMART;279.05
RPTECH;296.95
BLS;289.60
GPIL;695.20
TCL;141.00
GRAPHITE;601.75
HONASA;380.80
RKFORGE;630.40
SUNDARMFIN;3,920.90
ISEC;755.95
SUNPHARMA;1,567.25
VIMTALABS;436.00
DHAMPURSUG;218.45
PFOCUS;92.45
RCF;121.00
5PAISA;474.95
GLOBAL;209.65
ROSSARI;687.40
RELIANCE;2,879.40
KANSAINER;260.00
NDTV;212.85
ASHIANA;272.45
BAJAJHCARE;301.95
CHOLAFIN;1,053.70
SAHYADRI;332.40
ICEMAKE;450.05
PGINVIT;96.15
BARBEQUE;520.25
NHPC;78.55
GTPL;158.40
SAKHTISUG;29.70
WHEELS;564.55
YUKEN;714.50
RACE;337.90
STOVEKRAFT;417.70
PSPPROJECT;608.25
BALRAMCHIN;349.35
DBOL;119.90
STCINDIA;120.00
RANASUG;20.05
AUTOAXLES;1,799.50
DHANUKA;987.40
AIROLAM;151.40
NAVNETEDUL;131.75
BFUTILITIE;703.00
ATULAUTO;481.00
NATCOPHARM;938.00
REPL;175.80
TVTODAY;207.20
NAVA;447.00
DCBBANK;114.85
UNIDT;221.00
ITDC;590.10
HAL;3,053.95
NFL;85.00
COALINDIA;419.00
BBTC;1,551.00
SHANKARA;635.70
CHENNPETRO;780.95
BOSCHLTD;28,429.95
CENTUM;1,439.95
PNBGILTS;100.85
BHARTIARTL;1,173.95
ZYDUSWELL;1,510.00
RUCHINFRA;11.40
ANGELONE;2,445.90
NEOGEN;1,247.00
SYNOPTICS;117.00
DVL;333.35
JCHAC;998.45
KRSNAA;563.05
GRMOVER;116.70
SHRIPISTON;1,449.60
LAXMIMACH;13,777.00
ENGINERSIN;187.45
CAPITALSFB;339.95
KELLTONTEC;95.50
NIACL;218.50
SHAKTIPUMP;1,165.00
BIRLACABLE;220.45
YATRA;138.10
PALREDTEC;125.45
KIRLOSIND;3,849.00
ESAFSFB;56.15
IKIO;280.80
DOLLAR;464.90
SBIN;749.90
VRLLOG;529.45
TREL;43.00
MOLDTECH;186.95
MUNJALSHOW;146.00
GSFC;190.00
SIYSIL;455.00
SAIL;119.10
ATMASTCO;134.00
ASAL;545.00
YASHO;1,530.00
GALAXYSURF;2,355.00
ERIS;833.95
CIGNITITEC;1,095.80
ABB;5,614.90
CHOICEIN;246.80
NCLIND;182.50
FSL;182.60
UTIAMC;813.95
SHALBY;216.50
TIMKEN;2,581.80
JSWHL;6,300.00
VADILALIND;3,214.65
ARIHANTCAP;51.35
DLINKINDIA;258.50
RAINBOW;1,107.55
DPWIRES;422.00
ENDURANCE;1,731.20
DCXINDIA;247.45
BTML;162.50
VGUARD;306.95
NESTLEIND;2,590.00
APOLLOTYRE;493.35
BAIDFIN;19.85
ZYDUSLIFE;970.95
SUDARSCHEM;551.00
RTNINDIA;65.55
DEEPAKFERT;461.00
HINDPETRO;485.00
AVADHSUGAR;562.10
WHIRLPOOL;1,262.40
KITEX;181.30
IBULHSGFIN;160.35
NECCLTD;23.05
CANTABIL;185.00
ADANIENSOL;950.00
AMRUTANJAN;604.95
BSHSL;189.00
PRSMJOHNSN;165.40
TATVA;1,209.95
BHINVIT;103.50
INTELLECT;1,132.00
CUB;127.05
MEDPLUS;666.55
ASTEC;1,054.35
TEGA;1,160.00
NOVAAGRI;51.95
NSLNISP;52.00
HINDOILEXP;159.45
INFY;1,614.40
ANDHRAPAP;495.00
HEIDELBERG;193.50
AARTIDRUGS;452.55
VENKEYS;1,609.00
RHIM;513.65
KRITI;123.40
GEOJITFSL;62.20
EIDPARRY;554.95
HCLTECH;1,634.00
MANYAVAR;910.20
CAMLINFINE;102.40
DHANI;34.20
UCAL;138.20
ARIES;242.00
NUVAMA;3,814.85
TRIDENT;35.60
GANDHAR;215.05
AWL;333.00
PRECWIRE;114.45
RENUKA;40.00
ASTRAZEN;5,099.80
FINOPB;282.60
THEJO;2,120.00
GUJALKALI;707.70
CGPOWER;462.00
TITAN;3,629.95
MANINFRA;171.10
HDFCBANK;1,462.10
UJJIVANSFB;44.90
ORIENTCER;45.05
SPAL;556.60
ASALCBR;465.35
TCS;4,153.45
NURECA;286.00
ZEEL;145.40
MARUTI;11,401.75
JINDALSTEL;764.95
KANORICHEM;103.00
TRU;52.00
ROUTE;1,570.95
FIEMIND;1,016.95
JKCEMENT;4,090.00
PDMJEPAPER;55.50
KICL;3,611.00
DYCL;349.95
DALBHARAT;1,827.00
JUBLFOOD;431.35
ARVINDFASN;426.45
STEL;285.00
AEGISCHEM;362.95
TTML;74.25
RUSTOMJEE;596.00
PGEL;1,490.70
INGERRAND;3,460.00
GMDCLTD;324.00
ACL;83.45
TCNSBRANDS;334.15
RSWM;169.70
GRSE;686.20
HLEGLAS;445.65
KINGFA;1,529.90
PAGEIND;34,049.95
KECL;99.70
DATAMATICS;504.00
WORTH;102.00
TATATECH;1,037.95
NAZARA;631.00
SEQUENT;114.50
KOKUYOCMLN;116.00
SANOFI;8,031.95
SPANDANA;840.05
DMCC;257.00
MARKSANS;133.00
GRASIM;2,149.90
ADANIPORTS;1,210.00
JTEKTINDIA;140.00
CYBERTECH;143.15
AMBIKCO;1,449.95
JYOTICNC;582.00
GLAXO;1,926.95
MRF;1,39,100.00
LICI;910.00
INDIAGLYCO;760.00
GICHSGFIN;197.20
MUTHOOTMF;199.50
ORIENTCEM;202.00
OPTIEMUS;263.85
CENTURYTEX;1,344.80
SIEMENS;4,650.95
BSE;2,012.00
SUMICHEM;339.40
ATUL;5,995.95
GRAVITA;741.00
GOKEX;716.00
STYLAMIND;1,476.80
GARFIBRES;3,221.15
SAH;87.65
SCHAND;227.65
BALAXI;486.30
INDORAMA;40.25
MENONBE;109.55
SUNDARMHLD;189.30
FMGOETZE;322.80
SUVIDHAA;5.40
AAVAS;1,339.65
PRINCEPIPE;530.20
HMT;45.00
BALAMINES;2,041.05
ZAGGLE;293.30
NRL;97.25
KALAMANDIR;177.40
MVGJL;186.70
MANINDS;334.85
BIRLAMONEY;92.55
SPTL;1.10
HARSHA;369.75
TERASOFT;52.15
FSC;8.90
DELTACORP;118.25
20MICRONS;137.10
UGARSUGAR;67.85
PTC;167.20
IDEAFORGE;691.95
FAIRCHEMOR;1,193.25
NIITLTD;102.05
VAKRANGEE;19.45
PREMEXPLN;1,339.00
GOYALALUM;8.85
IDFC;108.90
BANDHANBNK;178.70
IGPL;414.80
MONTECARLO;636.05
LEMONTREE;125.00
SHAILY;462.60
RAMASTEEL;33.75
SOUTHWEST;100.15
LUMAXTECH;415.70
PEL;822.85
RATNAMANI;2,609.35
KOTARISUG;48.80
LAGNAM;107.50
VLSFINANCE;232.30
DOMS;1,405.70
BPCL;597.75
CLEAN;1,290.15
METROPOLIS;1,587.80
BIRLACORPN;1,434.65
HINDZINC;301.80
TTKPRESTIG;699.30
LATENTVIEW;443.55
FEL;0.70
BSL;169.85
KREBSBIO;64.45
SAMBHAAV;5.20
SHALPAINTS;157.00
MGEL;17.95
ARE&M;783.15
JITFINFRA;486.55
ZEEMEDIA;10.45
AETHER;786.95
COFFEEDAY;50.60
EDELWEISS;65.30
CRISIL;4,883.80
TBZ;99.55
HINDMOTORS;15.60
GLOBUSSPR;723.15
ECLERX;2,334.30
MAANALU;140.00
HONAUT;36,442.60
EASEMYTRIP;41.65
KUANTUM;146.70
WENDT;11,157.15
IVC;8.85
SMSLIFE;602.90
MAHSCOOTER;6,876.70
MARICO;496.15
RADIOCITY;16.20
CERA;7,026.30
SHREECEM;24,360.35
KANANIIND;3.90
OCCL;687.25
ZIMLAB;94.25
HAVELLS;1,474.05
ALKYLAMINE;1,975.10
HERITGFOOD;308.90
HONDAPOWER;2,216.55
PGHL;4,882.75
RVNL;222.60
3MINDIA;30,246.55
SURYAROSNI;477.70
IIFLSEC;115.45
EXICOM;177.05
YESBANK;20.95
SPECIALITY;172.75
JAYSREETEA;93.95
ASAHISONG;304.50
OSWALSEEDS;30.80
GABRIEL;277.75
VERTOZ;716.45
ZODIACLOTH;106.10
BCG;15.80
UBL;1,687.85
EXCEL;0.50
WESTLIFE;715.80
SRF;2,386.00
INDIACEM;196.05
UCOBANK;48.15
GHCLTEXTIL;72.75
THEINVEST;122.00
GRANULES;412.15
LOKESHMACH;288.05
BRNL;56.00
EIHAHOTELS;639.90
PURVA;177.50
JISLJALEQS;44.55
CREST;395.25
APOLLOHOSP;6,008.40
HCC;32.00
ADSL;128.45
SURANAT&P;14.90
FRETAIL;2.50
TMB;453.40
FEDFINA;113.30
GMBREW;584.20
BAYERCROP;5,030.15
BEPL;82.40
FIVESTAR;609.90
TNPETRO;79.55
GSLSU;224.45
TCIEXP;1,001.40
UNIVCABLES;394.95
OSWALGREEN;28.65
ASKAUTOLTD;243.55
IGARASHI;418.70
BLUEDART;5,696.25
ATL;52.00
SUPREMEIND;3,719.20
M&M;1,853.70
GREENCHEF;70.70
HAPPYFORGE;835.65
GOENKA;0.85
PREMIERPOL;172.25
SCPL;339.95
RUSHIL;292.55
CONCOR;862.45
ADORWELD;1,385.30
HAPPSTMNDS;785.15
SOBHA;1,268.00
SRHHYPOLTD;482.25
AEROFLEX;116.55
MURUDCERA;43.35
SHILPAMED;405.35
VETO;110.40
SASTASUNDR;287.15
KBCGLOBAL;1.85
SUNTV;585.75
GOODLUCK;788.90
CELLO;723.40
BASML;38.25
TRIVENI;307.80
BCLIND;53.30
TATAPOWER;371.95
TEXRAIL;145.10
CROMPTON;277.15
EVERESTIND;1,091.20
SFL;948.70
GOLDENTOBC;52.15
KALYANIFRG;435.70
SCHAEFFLER;2,769.40
DODLA;819.55
FLFL;2.45
AJANTPHARM;2,110.70
THOMASCOOK;142.75
IFGLEXPOR;482.10
MRO-TEK;58.05
IDEA;12.40
SICALLOG;190.50
GANDHITUBE;683.90
ASTRON;23.60
MANGLMCEM;652.35
HESTERBIO;1,305.30
WEWIN;64.75
PTL;38.05
MAHLOG;394.55
SMLISUZU;1,779.55
GICRE;317.40
OIL;573.80
LGBBROSLTD;1,120.75
VERANDA;180.00
MANALIPETC;57.90
BEARDSELL;35.60
ALLCARGO;69.10
LINDEINDIA;6,057.95
SITINET;0.65
EMKAY;112.30
EPIGRAL;969.35
GANESHBE;169.90
SOLARINDS;7,346.25
INDOTECH;847.70
BAJFINANCE;6,456.15
SAFARI;1,711.55
ABSLAMC;471.75
AVTNPL;82.25
TFL;9.50
INDIGOPNTS;1,308.65
FINCABLES;844.10
HIL;2,686.30
FINEORG;4,100.05
NH;1,187.60
MCDOWELL-N;1,109.25
HATSUN;1,103.00
ASIANPAINT;2,860.00
HGINFRA;875.90
KSL;856.00
GLS;688.25
PARAS;624.50
JSL;618.70
GNFC;598.00
UPL;451.85
PDSL;447.90
CHEMBOND;447.00
IGL;407.50
VSTTILLERS;3,025.05
EVEREADY;323.70
STERTOOLS;322.25
MCX;3,210.10
SESHAPAPER;304.50
ICIL;294.75
BASF;3,163.00
TNPL;250.20
RALLIS;240.60
DMART;3,966.95
FINPIPE;207.25
KIRLOSBROS;992.25
CASTROLIND;191.50
KARURVYSYA;170.15
IRBINVIT;67.15
APLAPOLLO;1,492.00
RAMCOCEM;790.00
LINC;466.00
RAILTEL;308.15
TAJGVK;303.90
SIS;446.95
SURYODAY;147.10
TATASTEEL;143.60
AHL;277.00
MUTHOOTFIN;1,350.00
PETRONET;263.65
JBCHEPHARM;1,550.95
VEDL;251.80
RUCHIRA;114.20
SBICARD;685.00
LALPATHLAB;2,011.00
RSYSTEMS;434.95
RBL;652.00
KPRMILL;759.95
LAOPALA;302.75
MANGCHEFER;100.90
BIKAJI;502.95
SUNTECK;399.70
RAMCOIND;197.50
SOMANYCERA;570.50
GATEWAY;93.65
YATHARTH;374.00
SILINV;462.00
NAHARSPING;274.65
AUROPHARMA;1,005.00
GOLDIAM;167.40
JIOFIN;328.00
SKFINDIA;4,090.00
GMMPFAUDLR;1,270.00
HCG;315.00
MHRIL;378.75
KTKBANK;226.60
TVSSCS;149.80
SBGLP;744.95
SYNGENE;670.00
MAZDOCK;1,857.70
